case,run,mode,size,pause_ms,rate,alloc_stats,elapsed_ms,mib_s,fast_done_us,slow_done_us,peak_payload,peak_slow,probes,probe_p50_us,probe_p99_us,probe_max_us,max_probe_gap_us,polls,sleeps,skip_polls,rejected,allocations,allocated_bytes,live_heap_peak_delta,rss_peak_bytes,cpu_user_s,cpu_system_s,os_peak_footprint_bytes
paced-8MiB,1,pull,8388608,0,4194304,false,2000.116,8.000,34756,2000115,393216,262144,946,440,622,1013,2734,13107,10053,0,1713,0,0,0,5488640,0.11,0.09,4292944
paced-8MiB,2,current,8388608,0,4194304,false,2000.059,8.000,64135,2000059,8192000,8126464,950,441,1013,1515,2718,13109,10129,0,0,0,0,0,12369920,0.10,0.09,11256168
paced-8MiB,2,pause,8388608,0,4194304,false,2000.055,8.000,1922226,2000054,327680,327680,66,46780,47107,61617,61622,11840,11191,11399,3499,0,0,0,5668864,0.09,0.06,4522320
paced-8MiB,2,pull,8388608,0,4194304,false,2000.045,8.000,34847,2000044,393216,262144,946,444,689,1180,2835,13101,10047,0,1713,0,0,0,5046272,0.11,0.10,3850576
paced-8MiB,2,ack,8388608,0,4194304,false,2000.033,8.000,33616,2000032,393216,262144,945,362,528,10336,12341,13065,9932,0,0,0,0,0,4456448,0.10,0.10,3326288
paced-8MiB,3,current,8388608,0,4194304,false,2000.189,7.999,61847,2000188,8257536,8192000,947,443,980,1137,6406,13015,10060,0,0,0,0,0,12173312,0.10,0.09,11059560
paced-8MiB,3,pause,8388608,0,4194304,false,2000.272,7.999,1922346,2000037,327680,327680,67,46752,47062,61484,61490,11896,11242,11450,3523,0,0,0,5521408,0.10,0.06,4374864
paced-8MiB,3,pull,8388608,0,4194304,false,2000.145,7.999,34644,2000145,393216,262144,942,442,796,4942,10864,13014,9966,0,1698,0,0,0,5423104,0.11,0.09,4227408
paced-8MiB,3,ack,8388608,0,4194304,false,2000.076,8.000,33333,2000075,393216,262144,954,433,505,945,2822,13262,10051,0,0,0,0,0,4784128,0.10,0.10,3653968
paced-8MiB,4,ack,8388608,0,4194304,false,2000.174,7.999,33043,2000174,393216,262144,955,442,516,948,2476,13287,10090,0,0,0,0,0,4145152,0.10,0.10,3014992
paced-8MiB,4,pull,8388608,0,4194304,false,2000.078,8.000,34853,2000077,393216,262144,942,444,748,8352,10054,12961,9952,0,1706,0,0,0,5308416,0.11,0.10,4129128
paced-8MiB,4,current,8388608,0,4194304,false,2000.162,7.999,61336,2000161,8257536,8192000,948,445,1186,1486,2880,13089,10110,0,0,0,0,0,12451840,0.10,0.10,11338088
paced-8MiB,4,pause,8388608,0,4194304,false,2000.119,8.000,1922198,2000119,327680,327680,67,46792,47012,61850,61854,11919,11275,11472,3520,0,0,0,6144000,0.09,0.06,4997456
paced-8MiB,5,pause,8388608,0,4194304,false,2000.089,8.000,1922322,2000060,327680,327680,67,46784,52054,61462,61473,11744,11098,11300,3481,0,0,0,5275648,0.10,0.06,4129104
paced-8MiB,5,ack,8388608,0,4194304,false,2000.088,8.000,33832,2000088,393216,262144,952,444,518,1007,2504,13254,10050,0,0,0,0,0,4177920,0.10,0.10,3047760
paced-8MiB,5,pull,8388608,0,4194304,false,2000.195,7.999,34566,2000194,393216,262144,941,402,745,7262,10868,13007,9977,0,1691,0,0,0,5177344,0.10,0.09,3981648
paced-8MiB,5,current,8388608,0,4194304,false,2000.561,7.998,60729,2000143,8257536,8192000,948,445,1013,1439,2829,13101,10118,0,0,0,0,0,12189696,0.09,0.10,11075944
paced-8MiB,6,ack,8388608,0,4194304,false,2000.167,7.999,34443,2000166,393216,262144,952,434,517,943,2488,13257,10064,0,0,0,0,0,4505600,0.10,0.10,3375440
paced-8MiB,6,current,8388608,0,4194304,false,2000.184,7.999,60878,2000184,8257536,8192000,941,445,1199,3884,14222,12949,10006,0,0,0,0,0,12091392,0.10,0.10,10961232
paced-8MiB,6,pause,8388608,0,4194304,false,2000.330,7.999,1922316,2000069,327680,327680,67,46804,47051,61540,61545,11896,11246,11451,3511,0,0,0,5111808,0.09,0.06,3965264
paced-8MiB,6,pull,8388608,0,4194304,false,2000.156,7.999,34182,2000155,393216,262144,942,438,651,2562,7697,12984,9964,0,1710,0,0,0,5324800,0.10,0.09,4129104
paced-8MiB,7,current,8388608,0,4194304,false,2000.285,7.999,66088,2000045,8192000,8126464,948,444,1502,1745,3069,13054,10085,0,0,0,0,0,12288000,0.10,0.10,11157840
paced-8MiB,7,ack,8388608,0,4194304,false,2000.164,7.999,34191,2000164,393216,262144,952,442,527,959,2438,13224,10039,0,0,0,0,0,4489216,0.10,0.10,3359056
paced-8MiB,7,pause,8388608,0,4194304,false,2000.066,8.000,1922401,2000065,327680,327680,66,46779,47397,61465,61470,11822,11168,11381,3501,0,0,0,5799936,0.10,0.06,4669800
paced-8MiB,7,pull,8388608,0,4194304,false,2000.183,7.999,34849,2000182,393216,262144,945,444,629,1019,2737,13097,10033,0,1716,0,0,0,5259264,0.11,0.10,4063568
paused-8MiB,1,pull,8388608,750,0,false,783.674,20.417,35288,783674,393167,262095,372,444,695,1034,2396,5013,3740,0,678,0,0,0,4767744,0.07,0.04,3572048
paused-8MiB,1,ack,8388608,750,0,false,782.029,20.460,32701,782028,393216,262144,373,442,583,979,2337,5048,3766,0,0,0,0,0,4538368,0.07,0.04,3408208
paused-8MiB,1,pause,8388608,750,0,false,811.666,19.713,811569,811665,327680,262144,29,1678,2132,750094,751275,4523,4385,4392,1459,0,0,0,5537792,0.07,0.02,4391248
paused-8MiB,1,current,8388608,750,0,false,756.946,21.138,60424,756945,8454144,8388608,353,438,1397,6898,11976,4737,3520,0,0,0,0,0,12238848,0.07,0.03,11108688
paused-8MiB,2,pause,8388608,750,0,false,810.242,19.747,810148,810242,327680,262144,28,1422,1943,749912,751092,4517,4379,4386,1462,0,0,0,5472256,0.07,0.02,4325712
paused-8MiB,2,pull,8388608,750,0,false,782.762,20.440,33721,782762,458703,262095,372,302,678,964,2718,5023,3743,0,675,0,0,0,5226496,0.07,0.03,4030800
paused-8MiB,2,current,8388608,750,0,false,756.738,21.143,60357,756737,8454144,8388608,359,440,964,972,2416,4862,3628,0,0,0,0,0,12222464,0.07,0.03,11092304
paused-8MiB,2,ack,8388608,750,0,false,782.264,20.453,32881,782263,393216,262144,374,437,535,999,2472,5057,3781,0,0,0,0,0,4112384,0.07,0.03,2982224
paused-8MiB,3,pull,8388608,750,0,false,782.616,20.444,36456,782416,393167,262095,370,445,729,1036,2913,4976,3711,0,678,0,0,0,4931584,0.08,0.04,3735888
paused-8MiB,3,pause,8388608,750,0,false,818.904,19.538,818502,818903,327680,262144,30,1463,3949,749531,750714,4536,4398,4405,1466,0,0,0,6619136,0.07,0.02,5472592
paused-8MiB,3,current,8388608,750,0,false,756.636,21.146,62872,756635,8454144,8388608,359,441,1463,1615,3029,4843,3605,0,0,0,0,0,12681216,0.07,0.04,11567464
paused-8MiB,3,ack,8388608,750,0,false,782.118,20.457,33560,782117,393216,262144,373,439,538,973,2386,5028,3767,0,0,0,0,0,4440064,0.07,0.04,3309904
paused-8MiB,4,pause,8388608,750,0,false,810.454,19.742,810333,810453,327680,262144,28,1430,1970,750251,751451,4521,4383,4390,1463,0,0,0,5636096,0.07,0.02,4489552
paused-8MiB,4,ack,8388608,750,0,false,781.499,20.473,32722,781498,393216,262144,373,399,513,920,2507,5053,3772,0,0,0,0,0,4145152,0.07,0.03,3014992
paused-8MiB,4,current,8388608,750,0,false,756.642,21.146,60261,756642,8454144,8388608,359,441,964,992,2413,4865,3630,0,0,0,0,0,12206080,0.07,0.03,11075920
paused-8MiB,4,pull,8388608,750,0,false,781.817,20.465,34370,781816,393167,262095,371,442,612,1046,2415,5023,3745,0,677,0,0,0,4538368,0.07,0.03,3342672
paused-8MiB,5,pull,8388608,750,0,false,781.991,20.461,35004,781836,393167,262095,368,389,626,1463,6626,4919,3686,0,665,0,0,0,4734976,0.07,0.03,3539280
paused-8MiB,5,current,8388608,750,0,false,757.084,21.134,60487,757083,8454144,8388608,359,444,1382,1435,2825,4869,3623,0,0,0,0,0,12222464,0.07,0.03,11092304
paused-8MiB,5,pause,8388608,750,0,false,810.386,19.744,810291,810385,327680,262144,29,1459,2318,749731,750937,4543,4405,4412,1468,0,0,0,5914624,0.07,0.02,4768080
paused-8MiB,5,ack,8388608,750,0,false,781.702,20.468,32587,781701,393216,262144,373,443,599,950,2564,5059,3775,0,0,0,0,0,4145152,0.07,0.03,3014992
paused-8MiB,6,ack,8388608,750,0,false,781.832,20.465,34126,781831,393216,262144,373,438,620,974,2466,5015,3760,0,0,0,0,0,4423680,0.07,0.04,3293520
paused-8MiB,6,pull,8388608,750,0,false,782.626,20.444,33044,782604,393167,262095,372,442,584,985,2618,5035,3755,0,675,0,0,0,4702208,0.07,0.03,3506512
paused-8MiB,6,pause,8388608,750,0,false,809.761,19.759,809667,809761,327680,262144,29,1454,1757,749876,751062,4531,4393,4400,1462,0,0,0,4751360,0.07,0.02,3604816
paused-8MiB,6,current,8388608,750,0,false,757.194,21.131,60391,757194,8454144,8388608,351,438,967,2589,19039,4699,3506,0,0,0,0,0,12189696,0.07,0.03,11059536
paused-8MiB,7,pause,8388608,750,0,false,812.797,19.685,812706,812797,327680,262144,30,1562,2043,749909,750939,4506,4368,4375,1449,0,0,0,5947392,0.07,0.02,4817256
paused-8MiB,7,pull,8388608,750,0,false,782.543,20.446,33872,782542,458703,262095,371,437,851,1009,2800,5019,3742,0,675,0,0,0,5455872,0.07,0.03,4260176
paused-8MiB,7,ack,8388608,750,0,false,782.881,20.437,32505,782880,393216,262144,373,440,595,969,2374,5040,3771,0,0,0,0,0,4538368,0.07,0.04,3408208
paused-8MiB,7,current,8388608,750,0,false,756.527,21.149,63011,756526,8454144,8388608,359,439,1010,1084,2582,4842,3609,0,0,0,0,0,12386304,0.07,0.03,11272552
paused-32MiB,1,pause,33554432,750,0,false,993.547,64.416,993452,993547,327680,262144,112,1448,1733,749922,751112,4917,4395,4402,1466,0,0,0,4767744,0.23,0.03,3621200
paused-32MiB,1,current,33554432,750,0,false,781.588,81.885,238912,781587,33619968,33554432,356,437,1427,9193,11090,4344,2606,0,0,0,0,0,37519360,0.24,0.04,36405608
paused-32MiB,1,ack,33554432,750,0,false,882.628,72.511,132189,882627,393216,262144,422,293,609,946,2492,5062,3266,0,0,0,0,0,4751360,0.25,0.05,3621200
paused-32MiB,1,pull,33554432,750,0,false,881.096,72.637,140008,881095,393167,262095,418,443,885,1097,2780,4991,3202,0,681,0,0,0,4997120,0.25,0.04,3801424
paused-32MiB,2,pull,33554432,750,0,false,877.891,72.902,131170,877890,393167,262095,412,440,623,1071,2534,5141,3234,0,673,0,0,0,4947968,0.24,0.05,3752272
paused-32MiB,2,ack,33554432,750,0,false,879.538,72.765,130454,879537,393216,262144,421,279,602,956,2444,5080,3275,0,0,0,0,0,4505600,0.25,0.05,3375440
paused-32MiB,2,pause,33554432,750,0,false,1000.489,63.969,1000240,1000429,327680,262144,114,1540,2023,750205,751409,4895,4371,4378,1461,0,0,0,5931008,0.24,0.04,4784464
paused-32MiB,2,current,33554432,750,0,false,775.458,82.532,239535,775457,33619968,33554432,355,443,1427,5331,9156,4326,2598,0,0,0,0,0,37568512,0.24,0.04,36454760
paused-32MiB,3,pull,33554432,750,0,false,878.953,72.814,134612,878953,458703,262095,413,301,868,1072,2723,5140,3236,0,666,0,0,0,5177344,0.24,0.04,3981648
paused-32MiB,3,pause,33554432,750,0,false,992.312,64.496,992219,992312,327680,262144,108,1440,1763,749812,750997,4903,4381,4388,1462,0,0,0,5128192,0.23,0.04,3981648
paused-32MiB,3,current,33554432,750,0,false,774.293,82.656,241171,774292,33619968,33554432,360,442,1473,1620,2878,4428,2679,0,0,0,0,0,37568512,0.24,0.04,36454760
paused-32MiB,3,ack,33554432,750,0,false,880.655,72.673,132355,880654,393216,262144,423,438,603,943,2476,5037,3263,0,0,0,0,0,4161536,0.25,0.04,3031376
paused-32MiB,4,pull,33554432,750,0,false,877.548,72.931,134730,877547,393167,262095,418,281,578,988,2563,5036,3250,0,678,0,0,0,4898816,0.25,0.04,3703120
paused-32MiB,4,current,33554432,750,0,false,773.707,82.719,240140,773706,33619968,33554432,360,267,1429,1496,2909,4373,2700,0,0,0,0,0,37584896,0.23,0.04,36471144
paused-32MiB,4,ack,33554432,750,0,false,883.880,72.408,144626,883849,393216,262144,420,287,1061,2352,3865,4956,3189,0,0,0,0,0,4898816,0.25,0.05,3785064
paused-32MiB,4,pause,33554432,750,0,false,999.510,64.031,999414,999509,327680,262144,113,1546,2078,749474,750685,4814,4292,4299,1437,0,0,0,5799936,0.24,0.04,4669800
paused-32MiB,5,ack,33554432,750,0,false,881.279,72.622,131586,881279,393216,262144,423,272,587,949,2547,5033,3280,0,0,0,0,0,4538368,0.25,0.04,3408208
paused-32MiB,5,pause,33554432,750,0,false,997.365,64.169,997271,997365,327680,262144,114,1495,1829,749685,750923,4906,4384,4391,1463,0,0,0,4718592,0.23,0.04,3572048
paused-32MiB,5,pull,33554432,750,0,false,878.504,72.851,130174,878503,393167,262095,411,381,580,973,2333,5081,3238,0,673,0,0,0,5193728,0.24,0.05,3998032
paused-32MiB,5,current,33554432,750,0,false,775.359,82.542,241664,775358,33619968,33554432,357,441,1466,1508,6205,4328,2621,0,0,0,0,0,37519360,0.24,0.04,36405608
paused-32MiB,6,pull,33554432,750,0,false,880.486,72.687,133781,880486,458703,262095,412,286,873,976,2817,5083,3228,0,669,0,0,0,5160960,0.24,0.05,3965264
paused-32MiB,6,ack,33554432,750,0,false,881.976,72.564,133079,881975,393216,262144,423,258,577,919,2439,5007,3271,0,0,0,0,0,4456448,0.25,0.04,3326288
paused-32MiB,6,pause,33554432,750,0,false,998.250,64.112,998156,998250,327680,262144,115,1516,1849,749195,750166,4914,4392,4399,1458,0,0,0,4833280,0.23,0.04,3686736
paused-32MiB,6,current,33554432,750,0,false,771.945,82.907,242558,771945,33619968,33554432,357,289,1456,1478,2924,4395,2669,0,0,0,0,0,37568512,0.23,0.04,36454760
paused-32MiB,7,pause,33554432,750,0,false,1002.678,63.829,1002581,1002678,327680,262144,115,1592,2065,749764,750946,4903,4381,4388,1463,0,0,0,5619712,0.24,0.04,4473168
paused-32MiB,7,ack,33554432,750,0,false,882.098,72.554,133123,882067,393216,262144,420,253,622,4942,6771,4910,3219,0,0,0,0,0,4456448,0.25,0.05,3326288
paused-32MiB,7,pull,33554432,750,0,false,878.653,72.839,138692,878652,393167,262095,416,278,571,1053,2605,4969,3222,0,674,0,0,0,4816896,0.25,0.04,3621200
paused-32MiB,7,current,33554432,750,0,false,773.600,82.730,241914,773599,33619968,33554432,359,260,1469,1490,2884,4389,2689,0,0,0,0,0,37568512,0.23,0.04,36454760
